gene,included,exclusion_reason
COPS8,True,
COPZ1,True,
COQ10B,True,
COQ3,True,
COQ5,True,
COQ6,True,
COQ7,True,
COQ8A,True,
COQ8B,True,
COQ9,True,
CORO1A,True,
CORO1B,True,
CORO1C,True,
CORO2A,True,
CORO2B,True,
CORO6,True,
CORO7,True,
COTL1,True,
COX11,True,
COX15,True,
COX17,True,
COX19,True,
COX2,True,
COX20,True,
COX4I1,True,
COX5A,True,
COX5B,True,
COX6A1,True,
COX6B1,True,
COX6C,True,
COX7A2,True,
COX7A2L,True,
COX7B,True,
COX7C,True,
CP,True,
CPA4,True,
CPD,True,
CPE,True,
CPEB4,True,
CPM,True,
CPNE1,True,
CPNE2,True,
CPNE3,True,
CPNE5,True,
CPNE7,True,
CPNE8,True,
CPOX,True,
CPPED1,True,
CPQ,True,
CPS1,True,
CPSF1,True,
CPSF2,True,
CPSF3,True,
CPSF4,True,
CPSF6,True,
CPSF7,True,
CPT1A,True,
CPT2,True,
CPVL,True,
CRABP1,True,
CRABP2,True,
CRACD,True,
CRACR2A,True,
CRAT,True,
CRBN,True,
CRCP,True,
CREB1,True,
CREB5,True,
CREBBP,True,
CREG1,True,
CRELD1,True,
CRELD2,True,
CRIM1,True,
CRIP1,True,
CRIP2,True,
CRIPT,True,
CRK,True,
CRKL,True,
CRLF3,True,
CRMP1,True,
CRNKL1,True,
CROCC,True,
CROT,True,
CRTAP,True,
CRTC1,True,
CRTC2,True,
CRTC3,True,
CRYAB,True,
CRYBG1,True,
CRYBG3,True,
CRYL1,True,
CRYZ,True,
CRYZL1,True,
CS,True,
CSDE1,True,
CSE1L,True,
CSK,True,
CSNK1A1,True,
CSNK1D,True,
CSNK1G3,True,
CSNK2A1,True,
CSNK2A2,True,
CSNK2B,True,
CSPG4,True,
CSRP1,True,
CSRP2,True,
CSRP3,True,
CST3,True,
CSTA,True,
CSTB,True,
CSTF1,True,
CSTF2,True,
CSTF2T,True,
CSTF3,True,
CTBP1,True,
CTBP2,True,
CTBS,True,
CTCF,True,
CTDP1,True,
CTDSPL2,True,
CTH,True,
CTHRC1,True,
CTIF,True,
CTNNA1,True,
CTNNA2,True,
CTNNB1,True,
CTNNBL1,True,
CTNND1,True,
CTNND2,True,
CTPS1,True,
CTPS2,True,
CTR9,True,
CTSA,True,
CTSB,True,
CTSC,True,
CTSD,True,
CTSF,True,
CTSH,True,
CTSL,True,
CTSS,True,
CTSV,True,
CTSZ,True,
CTTN,True,
CTTNBP2NL,True,
CTU1,True,
CTU2,True,
CUEDC1,True,
CUEDC2,True,
CUL1,True,
CUL2,True,
CUL3,True,
CUL4A,True,
CUL4B,True,
CUL5,True,
CUL7,True,
CUTA,True,
CUTC,True,
CUX1,True,
CWC15,True,
CWC22,True,
CWC25,True,
CWC27,True,
CWF19L1,True,
CWF19L2,True,
CXADR,True,
CXXC1,True,
CXXC5,True,
CXorf38,True,
CYB561,True,
CYB5A,True,
CYB5B,True,
CYB5R1,True,
CYB5R2,True,
CYB5R3,True,
CYB5R4,True,
CYBA,True,
CYBC1,True,
CYBRD1,True,
CYC1,True,
CYCS,True,
CYFIP1,True,
CYFIP2,True,
CYLD,True,
CYP1B1,True,
CYP20A1,True,
CYP27A1,True,
CYP2S1,True,
CYP51A1,True,
CYRIB,True,
CYTH1,True,
CYTH2,True,
CZIB,True,
D2HGDH,True,
DAAM1,True,
DAB2,True,
DAB2IP,True,
DACH1,True,
DAD1,True,
DAG1,True,
DAGLB,True,
DAP,True,
DAP3,True,
DAPK1,True,
DAPK3,True,
DARS1,True,
DARS2,True,
DAXX,True,
DAZAP1,True,
DBI,True,
DBN1,True,
DBNL,True,
DBR1,True,
DBT,True,
DCAF1,True,
DCAF10,True,
DCAF11,True,
DCAF13,True,
DCAF16,True,
DCAF5,True,
DCAF6,True,
DCAF7,True,
DCAKD,True,
DCBLD2,True,
DCD,True,
DCK,True,
DCLK1,True,
DCP1A,True,
DCP1B,True,
DCP2,True,
DCPS,True,
DCTD,True,
DCTN1,True,
DCTN2,True,
DCTN3,True,
DCTN4,True,
DCTN5,True,
DCTN6,True,
DCTPP1,True,
DCUN1D1,True,
DCUN1D3,True,
DCUN1D4,True,
DCUN1D5,True,
DCXR,True,
DDA1,True,
DDAH1,True,
DDAH2,True,
DDB1,True,
